Words,Definitions 
Numbers,A number is a value used for representing the quantity and used in making calculations.
Addition,The act of adding or uniting
Subtraction,The process or skill of taking one number or amount away from another.
Multiplication,The act or process of multiplying or the condition of being multiplied.
Division,The operation of determining how many times one quantity is contained in another; the inverse of multiplication.
Equals,Identical in mathematical value or logical denotation.
Exponent,"A number, letter, or algebraic expression written above and to the right of another number, letter, or expression called the base."
Cell ,"in biology, the unit of structure and function of which all plants and animals are composed."
Lab,A room or building equipped for scientific experimentation or research.
Mass,A unified body of matter with no specific shape
Geometry,"The mathematics of the properties, measurement, and relationships of points, lines, angles, surfaces, and solids."
Element,"A fundamental, essential, or irreducible constituent of a composite entity."
Scale,The ratio that defines the relation between the actual figure and its model.
Micoscope,An optical instrument that uses a lens or a combination of lenses to produce magnified images of small objects.
Organism,"An individual form of life, such as a bacterium, protist, fungus, plant, or animal."
Particle,A very small piece or part; a tiny portion or speck.
Telescope,"An arrangement of lenses or mirrors or both that gathers light, permitting direct observation or photographic recording of distant objects."
Line,A geometric figure formed by a point moving along a fixed direction and the reverse direction.
Magnitude,A  number assigned to a quantity so that it may be compared with other quantities.
Gravity,"The natural attraction between physical bodies, especially when one of the bodies is a celestial body, such as the earth."
Mineral,"A naturally occurring, homogeneous inorganic solid substance having a definite chemical composition."
Power,"The rate of doing work, it is the work done in unit time."
Oval,Resembling an ellipse in shape; elliptical.
Experiment,A test under controlled conditions that is made to demonstrate a known truth.
Formula,"A statement, especially an equation, of a fact, rule, principle, or other logical relation."
Fraction,a ratio of two expressions or numbers other than zero.
Vector,"A quantity, such as velocity, completely specified by a magnitude and a direction."
Angle,The figure formed by two lines diverging from a common point.
Sign,"Something that suggests the presence or existence of a fact, condition, or quality"
Energy,The capacity for work or vigorous activity.
Triangle ,"geometry a three-sided polygon that can be classified by angle, as in an acute triangle, or by side, as in an equilateral triangle."
Cube,A regular solid having six congruent square faces.
Square,A polygon having four equal sides and four equal angles.
Circle,"A plane curve everywhere equidistant from a given fixed point, the center."
Atom,A part or particle considered to be an irreducible constituent of a specified system.
Biology ,"The science of life and of living organisms, including their structure, function, growth, origin, evolution, and distribution."
Theory,A set of statements or principles devised to explain a group of facts or phenomena.
Infinity,The quality or condition of being infinite.
Pi,"A transcendental number, approximately 3.14159, represented by the symbol π."
Parallel,"Of, relating to, or designating two or more straight coplanar lines that do not intersect."
Parallelogram,a quadrilateral whose opposite sides are parallel and equal in length.
Hexagon,A polygon with six sides and six angles.
Gas,"A substance or matter in a state in which it will expand freely to fill the whole of a container, having no fixed shape"
Plasma,An ionized gas consisting of positive ions and free electrons.
Solid,Firm and stable in shape; not liquid or fluid.
Liquid,"A substance that flows freely but is of constant volume, having a consistency like water or oil."
Pentagon,A plane figure with five straight sides and five angles.
Chemistry,The branch of science that deals with the identification of the substances of which matter is composed.
Scientist,A person who is studying or has expert knowledge of one or more of the natural or physical sciences.
